States,Name,,offenseCT,,mjVictims,,regWeapons,,,
AK,Alaska,"""offCT"": """,6342,""", ""mjVictims"": """,0,""", ""regWeapons"": """,35144,""", ","""offCT"": ""6342"", ""mjVictims"": ""0"", ""regWeapons"": ""35144"", ","""offCT"": ""6342"", ""mjVictims"": ""0"", ""regWeapons"": ""35144"", "
AL,Alabama,"""offCT"": """,19292,""", ""mjVictims"": """,0,""", ""regWeapons"": """,326796,""", ","""offCT"": ""19292"", ""mjVictims"": ""0"", ""regWeapons"": ""326796"", ","""offCT"": ""19292"", ""mjVictims"": ""0"", ""regWeapons"": ""326796"", "
AR,Arkansas,"""offCT"": """,23641,""", ""mjVictims"": """,15,""", ""regWeapons"": """,168090,""", ","""offCT"": ""23641"", ""mjVictims"": ""15"", ""regWeapons"": ""168090"", ","""offCT"": ""23641"", ""mjVictims"": ""15"", ""regWeapons"": ""168090"", "
AZ,Arizona,"""offCT"": """,53789,""", ""mjVictims"": """,19,""", ""regWeapons"": """,371552,""", ","""offCT"": ""53789"", ""mjVictims"": ""19"", ""regWeapons"": ""371552"", ","""offCT"": ""53789"", ""mjVictims"": ""19"", ""regWeapons"": ""371552"", "
CA,California,"""offCT"": """,501475,""", ""mjVictims"": """,299,""", ""regWeapons"": """,716446,""", ","""offCT"": ""501475"", ""mjVictims"": ""299"", ""regWeapons"": ""716446"", ","""offCT"": ""501475"", ""mjVictims"": ""299"", ""regWeapons"": ""716446"", "
CO,Colorado,"""offCT"": """,39876,""", ""mjVictims"": """,142,""", ""regWeapons"": """,200324,""", ","""offCT"": ""39876"", ""mjVictims"": ""142"", ""regWeapons"": ""200324"", ","""offCT"": ""39876"", ""mjVictims"": ""142"", ""regWeapons"": ""200324"", "
CT,Connecticut,"""offCT"": """,24547,""", ""mjVictims"": """,46,""", ""regWeapons"": """,136594,""", ","""offCT"": ""24547"", ""mjVictims"": ""46"", ""regWeapons"": ""136594"", ","""offCT"": ""24547"", ""mjVictims"": ""46"", ""regWeapons"": ""136594"", "
DE,Delaware,"""offCT"": """,8518,""", ""mjVictims"": """,0,""", ""regWeapons"": """,9968,""", ","""offCT"": ""8518"", ""mjVictims"": ""0"", ""regWeapons"": ""9968"", ","""offCT"": ""8518"", ""mjVictims"": ""0"", ""regWeapons"": ""9968"", "
FL,Florida,"""offCT"": """,6308,""", ""mjVictims"": """,224,""", ""regWeapons"": """,754414,""", ","""offCT"": ""6308"", ""mjVictims"": ""224"", ""regWeapons"": ""754414"", ","""offCT"": ""6308"", ""mjVictims"": ""224"", ""regWeapons"": ""754414"", "
GA,Georgia,"""offCT"": """,71920,""", ""mjVictims"": """,27,""", ""regWeapons"": """,406792,""", ","""offCT"": ""71920"", ""mjVictims"": ""27"", ""regWeapons"": ""406792"", ","""offCT"": ""71920"", ""mjVictims"": ""27"", ""regWeapons"": ""406792"", "
HI,Hawaii,"""offCT"": """,5014,""", ""mjVictims"": """,7,""", ""regWeapons"": """,16036,""", ","""offCT"": ""5014"", ""mjVictims"": ""7"", ""regWeapons"": ""16036"", ","""offCT"": ""5014"", ""mjVictims"": ""7"", ""regWeapons"": ""16036"", "
IA,Iowa,"""offCT"": """,11279,""", ""mjVictims"": """,7,""", ""regWeapons"": """,63174,""", ","""offCT"": ""11279"", ""mjVictims"": ""7"", ""regWeapons"": ""63174"", ","""offCT"": ""11279"", ""mjVictims"": ""7"", ""regWeapons"": ""63174"", "
ID,Idaho,"""offCT"": """,9484,""", ""mjVictims"": """,0,""", ""regWeapons"": """,105054,""", ","""offCT"": ""9484"", ""mjVictims"": ""0"", ""regWeapons"": ""105054"", ","""offCT"": ""9484"", ""mjVictims"": ""0"", ""regWeapons"": ""105054"", "
IL,Illinois,"""offCT"": """,75858,""", ""mjVictims"": """,49,""", ""regWeapons"": """,288856,""", ","""offCT"": ""75858"", ""mjVictims"": ""49"", ""regWeapons"": ""288856"", ","""offCT"": ""75858"", ""mjVictims"": ""49"", ""regWeapons"": ""288856"", "
IN,Indiana,"""offCT"": """,31304,""", ""mjVictims"": """,0,""", ""regWeapons"": """,239540,""", ","""offCT"": ""31304"", ""mjVictims"": ""0"", ""regWeapons"": ""239540"", ","""offCT"": ""31304"", ""mjVictims"": ""0"", ""regWeapons"": ""239540"", "
KS,Kansas,"""offCT"": """,10745,""", ""mjVictims"": """,17,""", ""regWeapons"": """,114056,""", ","""offCT"": ""10745"", ""mjVictims"": ""17"", ""regWeapons"": ""114056"", ","""offCT"": ""10745"", ""mjVictims"": ""17"", ""regWeapons"": ""114056"", "
KY,Kentucky,"""offCT"": """,17916,""", ""mjVictims"": """,28,""", ""regWeapons"": """,171526,""", ","""offCT"": ""17916"", ""mjVictims"": ""28"", ""regWeapons"": ""171526"", ","""offCT"": ""17916"", ""mjVictims"": ""28"", ""regWeapons"": ""171526"", "
LA,Louisiana,"""offCT"": """,36353,""", ""mjVictims"": """,6,""", ""regWeapons"": """,234712,""", ","""offCT"": ""36353"", ""mjVictims"": ""6"", ""regWeapons"": ""234712"", ","""offCT"": ""36353"", ""mjVictims"": ""6"", ""regWeapons"": ""234712"", "
MA,Massachusetts,"""offCT"": """,22815,""", ""mjVictims"": """,7,""", ""regWeapons"": """,80060,""", ","""offCT"": ""22815"", ""mjVictims"": ""7"", ""regWeapons"": ""80060"", ","""offCT"": ""22815"", ""mjVictims"": ""7"", ""regWeapons"": ""80060"", "
MD,Maryland,"""offCT"": """,65531,""", ""mjVictims"": """,19,""", ""regWeapons"": """,230926,""", ","""offCT"": ""65531"", ""mjVictims"": ""19"", ""regWeapons"": ""230926"", ","""offCT"": ""65531"", ""mjVictims"": ""19"", ""regWeapons"": ""230926"", "
ME,Maine,"""offCT"": """,5671,""", ""mjVictims"": """,0,""", ""regWeapons"": """,34242,""", ","""offCT"": ""5671"", ""mjVictims"": ""0"", ""regWeapons"": ""34242"", ","""offCT"": ""5671"", ""mjVictims"": ""0"", ""regWeapons"": ""34242"", "
MI,Michigan,"""offCT"": """,83620,""", ""mjVictims"": """,18,""", ""regWeapons"": """,143356,""", ","""offCT"": ""83620"", ""mjVictims"": ""18"", ""regWeapons"": ""143356"", ","""offCT"": ""83620"", ""mjVictims"": ""18"", ""regWeapons"": ""143356"", "
MN,Minnesota,"""offCT"": """,33021,""", ""mjVictims"": """,23,""", ""regWeapons"": """,174038,""", ","""offCT"": ""33021"", ""mjVictims"": ""23"", ""regWeapons"": ""174038"", ","""offCT"": ""33021"", ""mjVictims"": ""23"", ""regWeapons"": ""174038"", "
MO,Missouri,"""offCT"": """,64606,""", ""mjVictims"": """,8,""", ""regWeapons"": """,157320,""", ","""offCT"": ""64606"", ""mjVictims"": ""8"", ""regWeapons"": ""157320"", ","""offCT"": ""64606"", ""mjVictims"": ""8"", ""regWeapons"": ""157320"", "
MS,Mississippi,"""offCT"": """,16664,""", ""mjVictims"": """,15,""", ""regWeapons"": """,78662,""", ","""offCT"": ""16664"", ""mjVictims"": ""15"", ""regWeapons"": ""78662"", ","""offCT"": ""16664"", ""mjVictims"": ""15"", ""regWeapons"": ""78662"", "
MT,Montana,"""offCT"": """,1546,""", ""mjVictims"": """,0,""", ""regWeapons"": """,40652,""", ","""offCT"": ""1546"", ""mjVictims"": ""0"", ""regWeapons"": ""40652"", ","""offCT"": ""1546"", ""mjVictims"": ""0"", ""regWeapons"": ""40652"", "
NC,North Carolina,"""offCT"": """,119276,""", ""mjVictims"": """,23,""", ""regWeapons"": """,330340,""", ","""offCT"": ""119276"", ""mjVictims"": ""23"", ""regWeapons"": ""330340"", ","""offCT"": ""119276"", ""mjVictims"": ""23"", ""regWeapons"": ""330340"", "
ND,North Dakota,"""offCT"": """,3702,""", ""mjVictims"": """,0,""", ""regWeapons"": """,30880,""", ","""offCT"": ""3702"", ""mjVictims"": ""0"", ""regWeapons"": ""30880"", ","""offCT"": ""3702"", ""mjVictims"": ""0"", ""regWeapons"": ""30880"", "
NE,Nebraska,"""offCT"": """,0,""", ""mjVictims"": """,13,""", ""regWeapons"": """,50184,""", ","""offCT"": ""0"", ""mjVictims"": ""13"", ""regWeapons"": ""50184"", ","""offCT"": ""0"", ""mjVictims"": ""13"", ""regWeapons"": ""50184"", "
NH,New Hampshire,"""offCT"": """,2226,""", ""mjVictims"": """,0,""", ""regWeapons"": """,118280,""", ","""offCT"": ""2226"", ""mjVictims"": ""0"", ""regWeapons"": ""118280"", ","""offCT"": ""2226"", ""mjVictims"": ""0"", ""regWeapons"": ""118280"", "
NJ,New Jersey,"""offCT"": """,87318,""", ""mjVictims"": """,0,""", ""regWeapons"": """,119258,""", ","""offCT"": ""87318"", ""mjVictims"": ""0"", ""regWeapons"": ""119258"", ","""offCT"": ""87318"", ""mjVictims"": ""0"", ""regWeapons"": ""119258"", "
NM,New Mexico,"""offCT"": """,11438,""", ""mjVictims"": """,0,""", ""regWeapons"": """,202364,""", ","""offCT"": ""11438"", ""mjVictims"": ""0"", ""regWeapons"": ""202364"", ","""offCT"": ""11438"", ""mjVictims"": ""0"", ""regWeapons"": ""202364"", "
NV,Nevada,"""offCT"": """,32924,""", ""mjVictims"": """,616,""", ""regWeapons"": """,174296,""", ","""offCT"": ""32924"", ""mjVictims"": ""616"", ""regWeapons"": ""174296"", ","""offCT"": ""32924"", ""mjVictims"": ""616"", ""regWeapons"": ""174296"", "
NY,New York,"""offCT"": """,86159,""", ""mjVictims"": """,55,""", ""regWeapons"": """,156282,""", ","""offCT"": ""86159"", ""mjVictims"": ""55"", ""regWeapons"": ""156282"", ","""offCT"": ""86159"", ""mjVictims"": ""55"", ""regWeapons"": ""156282"", "
OH,Ohio,"""offCT"": """,61826,""", ""mjVictims"": """,56,""", ""regWeapons"": """,346630,""", ","""offCT"": ""61826"", ""mjVictims"": ""56"", ""regWeapons"": ""346630"", ","""offCT"": ""61826"", ""mjVictims"": ""56"", ""regWeapons"": ""346630"", "
OK,Oklahoma,"""offCT"": """,39929,""", ""mjVictims"": """,21,""", ""regWeapons"": """,149230,""", ","""offCT"": ""39929"", ""mjVictims"": ""21"", ""regWeapons"": ""149230"", ","""offCT"": ""39929"", ""mjVictims"": ""21"", ""regWeapons"": ""149230"", "
OR,Oregon,"""offCT"": """,31570,""", ""mjVictims"": """,47,""", ""regWeapons"": """,132692,""", ","""offCT"": ""31570"", ""mjVictims"": ""47"", ""regWeapons"": ""132692"", ","""offCT"": ""31570"", ""mjVictims"": ""47"", ""regWeapons"": ""132692"", "
PA,Pennsylvania,"""offCT"": """,79545,""", ""mjVictims"": """,40,""", ""regWeapons"": """,523530,""", ","""offCT"": ""79545"", ""mjVictims"": ""40"", ""regWeapons"": ""523530"", ","""offCT"": ""79545"", ""mjVictims"": ""40"", ""regWeapons"": ""523530"", "
RI,Rhode Island,"""offCT"": """,7824,""", ""mjVictims"": """,0,""", ""regWeapons"": """,9070,""", ","""offCT"": ""7824"", ""mjVictims"": ""0"", ""regWeapons"": ""9070"", ","""offCT"": ""7824"", ""mjVictims"": ""0"", ""regWeapons"": ""9070"", "
SC,South Carolina,"""offCT"": """,42089,""", ""mjVictims"": """,17,""", ""regWeapons"": """,202232,""", ","""offCT"": ""42089"", ""mjVictims"": ""17"", ""regWeapons"": ""202232"", ","""offCT"": ""42089"", ""mjVictims"": ""17"", ""regWeapons"": ""202232"", "
SD,South Dakota,"""offCT"": """,2906,""", ""mjVictims"": """,0,""", ""regWeapons"": """,45694,""", ","""offCT"": ""2906"", ""mjVictims"": ""0"", ""regWeapons"": ""45694"", ","""offCT"": ""2906"", ""mjVictims"": ""0"", ""regWeapons"": ""45694"", "
TN,Tennessee,"""offCT"": """,57454,""", ""mjVictims"": """,15,""", ""regWeapons"": """,215268,""", ","""offCT"": ""57454"", ""mjVictims"": ""15"", ""regWeapons"": ""215268"", ","""offCT"": ""57454"", ""mjVictims"": ""15"", ""regWeapons"": ""215268"", "
TX,Texas,"""offCT"": """,211642,""", ""mjVictims"": """,263,""", ""regWeapons"": """,1275224,""", ","""offCT"": ""211642"", ""mjVictims"": ""263"", ""regWeapons"": ""1275224"", ","""offCT"": ""211642"", ""mjVictims"": ""263"", ""regWeapons"": ""1275224"", "
UT,Utah,"""offCT"": """,22526,""", ""mjVictims"": """,10,""", ""regWeapons"": """,167924,""", ","""offCT"": ""22526"", ""mjVictims"": ""10"", ""regWeapons"": ""167924"", ","""offCT"": ""22526"", ""mjVictims"": ""10"", ""regWeapons"": ""167924"", "
VA,Virginia,"""offCT"": """,67821,""", ""mjVictims"": """,71,""", ""regWeapons"": """,656020,""", ","""offCT"": ""67821"", ""mjVictims"": ""71"", ""regWeapons"": ""656020"", ","""offCT"": ""67821"", ""mjVictims"": ""71"", ""regWeapons"": ""656020"", "
VT,Vermont,"""offCT"": """,370,""", ""mjVictims"": """,0,""", ""regWeapons"": """,13246,""", ","""offCT"": ""370"", ""mjVictims"": ""0"", ""regWeapons"": ""13246"", ","""offCT"": ""370"", ""mjVictims"": ""0"", ""regWeapons"": ""13246"", "
WA,Washington,"""offCT"": """,48883,""", ""mjVictims"": """,65,""", ""regWeapons"": """,203068,""", ","""offCT"": ""48883"", ""mjVictims"": ""65"", ""regWeapons"": ""203068"", ","""offCT"": ""48883"", ""mjVictims"": ""65"", ""regWeapons"": ""203068"", "
WI,Wisconsin,"""offCT"": """,68509,""", ""mjVictims"": """,32,""", ""regWeapons"": """,146500,""", ","""offCT"": ""68509"", ""mjVictims"": ""32"", ""regWeapons"": ""146500"", ","""offCT"": ""68509"", ""mjVictims"": ""32"", ""regWeapons"": ""146500"", "
WV,West Virginia,"""offCT"": """,7106,""", ""mjVictims"": """,0,""", ""regWeapons"": """,75678,""", ","""offCT"": ""7106"", ""mjVictims"": ""0"", ""regWeapons"": ""75678"", ","""offCT"": ""7106"", ""mjVictims"": ""0"", ""regWeapons"": ""75678"", "
WY,Wyoming,"""offCT"": """,2143,""", ""mjVictims"": """,0,""", ""regWeapons"": """,256166,""", ","""offCT"": ""2143"", ""mjVictims"": ""0"", ""regWeapons"": ""256166"", ","""offCT"": ""2143"", ""mjVictims"": ""0"", ""regWeapons"": ""256166"", "
DC,DC,"""offCT"": """,0,""", ""mjVictims"": """,0,""", ""regWeapons"": """,0,""", ","""offCT"": ""0"", ""mjVictims"": ""0"", ""regWeapons"": ""0"", ","""offCT"": ""0"", ""mjVictims"": ""0"", ""regWeapons"": ""0"", "
,,"""offCT"": """,,""", ""mjVictims"": """,,""", ""regWeapons"": """,,""", ","""offCT"": """", ""mjVictims"": """", ""regWeapons"": """", ","""offCT"": """", ""mjVictims"": """", ""regWeapons"": """", "
